stamp,module,elapsed_ms
1657065602.728272,1.2_pointcloud_deskew,0.009
1657065602.728272,1.2_covariance_estimation,0.288
1657065602.728272,1.2_create_factors,0.234
1657065602.728272,1.2_smoother_update,4.677
1657065602.728272,1.3_gnss_injection,0.387
1657065602.728272,1.2_update_frames_calculate_estimate,0.011
1657065602.728272,1.2_update_frames_state_copy,0.006
1657065602.728272,1.2_update_frames_sigma_p,0.045
1657065602.728272,1.2_update_frames_icp_quality,0.217
1657065602.728272,1.2_update_frames,0.419
1657065602.704271,2.1_gnss_araim,0.642
1657065602.728272,2.2_lidar_araim,0.018
1657065602.728272,2.3_dynamic_al,0.000
1657065602.728272,2.3_state_machine,0.017
1657065602.728272,2.3_integrity_total,0.758
1657065602.728272,1.2_odom_insert_frame,7.754
1657065602.828277,1.1_pointcloud_extract,0.005
1657065602.828277,1.1_cloud_preprocess,0.230
1657065602.828277,1.1_ros_callback_total,0.312
1657065602.828277,1.2_imu_integration,0.090
1657065602.828277,1.2_pointcloud_deskew,0.009
1657065602.828277,1.2_covariance_estimation,0.794
1657065602.828277,1.2_create_factors,0.237
1657065602.828277,1.2_smoother_update,1.013
1657065602.828277,1.3_gnss_injection,0.359
1657065602.828277,1.2_update_frames_calculate_estimate,0.013
1657065602.828277,1.2_update_frames_state_copy,0.005
1657065602.828277,1.2_update_frames_sigma_p,0.047
1657065602.828277,1.2_update_frames_icp_quality,0.213
1657065602.828277,1.2_update_frames,0.412
1657065602.804303,2.1_gnss_araim,0.638
1657065602.828277,2.2_lidar_araim,0.017
1657065602.828277,2.3_dynamic_al,0.000
1657065602.828277,2.3_state_machine,0.017
1657065602.828277,2.3_integrity_total,0.739
1657065602.828277,1.2_odom_insert_frame,4.839
1657065602.928293,1.1_pointcloud_extract,0.004
1657065602.928293,1.1_cloud_preprocess,0.217
1657065602.928293,1.1_ros_callback_total,0.281
1657065602.928293,1.2_imu_integration,0.090
1657065602.928293,1.2_pointcloud_deskew,0.009
1657065602.928293,1.2_covariance_estimation,0.190
1657065602.928293,1.2_create_factors,0.234
1657065602.928293,1.2_smoother_update,5.874
1657065602.928293,1.3_gnss_injection,0.365
1657065602.928293,1.2_update_frames_calculate_estimate,0.019
1657065602.928293,1.2_update_frames_state_copy,0.007
1657065602.928293,1.2_update_frames_sigma_p,0.024
1657065602.928293,1.2_update_frames_icp_quality,0.310
1657065602.928293,1.2_update_frames,0.622
1657065602.904301,2.1_gnss_araim,0.867
1657065602.928293,2.2_lidar_araim,0.019
1657065602.928293,2.3_dynamic_al,0.000
1657065602.928293,2.3_state_machine,0.032
1657065602.928293,2.3_integrity_total,0.988
1657065602.928293,1.2_odom_insert_frame,9.402
1657065603.028272,1.1_pointcloud_extract,0.010
1657065603.028272,1.1_cloud_preprocess,0.201
1657065603.028272,1.1_ros_callback_total,0.269
1657065603.028272,1.2_imu_integration,0.090
1657065603.028272,1.2_pointcloud_deskew,0.010
1657065603.028272,1.2_covariance_estimation,0.118
1657065603.028272,1.2_create_factors,0.234
1657065603.028272,1.2_smoother_update,5.956
1657065603.028272,1.3_gnss_injection,0.371
1657065603.028272,1.2_update_frames_calculate_estimate,0.014
1657065603.028272,1.2_update_frames_state_copy,0.007
1657065603.028272,1.2_update_frames_sigma_p,0.045
1657065603.028272,1.2_update_frames_icp_quality,0.214
1657065603.028272,1.2_update_frames,0.409
1657065603.004278,2.1_gnss_araim,0.769
1657065603.028272,2.2_lidar_araim,0.014
1657065603.028272,2.3_dynamic_al,0.000
1657065603.028272,2.3_state_machine,0.015
1657065603.028272,2.3_integrity_total,0.858
1657065603.028272,1.2_odom_insert_frame,8.946
1657065603.128283,1.1_pointcloud_extract,0.005
1657065603.128283,1.1_cloud_preprocess,0.214
1657065603.128283,1.1_ros_callback_total,0.278
1657065603.128283,1.2_imu_integration,0.089
