stamp,module,elapsed_ms
1657065604.532244,1.1_cloud_preprocess,1.400
1657065604.532244,1.1_ros_callback_total,1.504
1657065604.532244,1.2_imu_integration,0.091
1657065604.532244,1.2_pointcloud_deskew,0.038
1657065604.532244,1.2_covariance_estimation,0.769
1657065604.532244,1.2_create_factors,0.019
1657065604.532244,1.2_smoother_update,4.022
1657065604.532244,1.3_gnss_injection,0.350
1657065604.532244,1.2_update_frames_calculate_estimate,0.013
1657065604.532244,1.2_update_frames_state_copy,0.006
1657065604.532244,1.2_update_frames_sigma_p,0.022
1657065604.532244,1.2_update_frames,0.066
1657065604.510251,2.1_gnss_araim,0.659
1657065604.532244,2.3_dynamic_al,0.000
1657065604.532244,2.3_state_machine,0.000
1657065604.532244,2.3_integrity_total,0.718
1657065604.532244,1.2_odom_insert_frame,6.749
1657065604.632276,1.1_pointcloud_extract,0.011
1657065604.632276,1.1_cloud_preprocess,1.415
1657065604.632276,1.1_ros_callback_total,1.501
1657065604.632276,1.2_imu_integration,0.079
1657065604.632276,1.2_pointcloud_deskew,0.049
1657065604.632276,1.2_covariance_estimation,0.512
1657065604.632276,1.2_create_factors,0.012
1657065604.632276,1.2_smoother_update,5.615
1657065604.632276,1.3_gnss_injection,0.250
1657065604.632276,1.2_update_frames_calculate_estimate,0.011
1657065604.632276,1.2_update_frames_state_copy,0.004
1657065604.632276,1.2_update_frames_sigma_p,0.060
1657065604.632276,1.2_update_frames,0.092
1657065604.610277,2.1_gnss_araim,0.663
1657065604.632276,2.3_dynamic_al,0.000
1657065604.632276,2.3_state_machine,0.000
1657065604.632276,2.3_integrity_total,0.728
1657065604.632276,1.2_odom_insert_frame,8.202
1657065604.732282,1.1_pointcloud_extract,0.011
1657065604.732282,1.1_cloud_preprocess,1.379
1657065604.732282,1.1_ros_callback_total,1.460
1657065604.732282,1.2_imu_integration,0.090
1657065604.732282,1.2_pointcloud_deskew,0.037
1657065604.732282,1.2_covariance_estimation,0.668
1657065604.732282,1.2_create_factors,0.017
1657065604.732282,1.2_smoother_update,4.418
1657065604.732282,1.3_gnss_injection,0.319
1657065604.732282,1.2_update_frames_calculate_estimate,0.014
1657065604.732282,1.2_update_frames_state_copy,0.005
1657065604.732282,1.2_update_frames_sigma_p,0.032
1657065604.732282,1.2_update_frames,0.075
1657065604.710274,2.1_gnss_araim,0.673
1657065604.732282,2.3_dynamic_al,0.000
1657065604.732282,2.3_state_machine,0.000
1657065604.732282,2.3_integrity_total,0.736
1657065604.732282,1.2_odom_insert_frame,7.064
1657065604.832284,1.1_pointcloud_extract,0.009
1657065604.832284,1.1_cloud_preprocess,1.289
1657065604.832284,1.1_ros_callback_total,1.362
1657065604.832284,1.2_imu_integration,0.090
1657065604.832284,1.2_pointcloud_deskew,0.037
1657065604.832284,1.2_covariance_estimation,0.736
1657065604.832284,1.2_create_factors,0.016
1657065604.832284,1.2_smoother_update,5.212
1657065604.832284,1.3_gnss_injection,0.362
1657065604.832284,1.2_update_frames_calculate_estimate,0.014
1657065604.832284,1.2_update_frames_state_copy,0.006
1657065604.832284,1.2_update_frames_sigma_p,0.113
1657065604.832284,1.2_update_frames,0.159
1657065604.810303,2.1_gnss_araim,0.610
1657065604.832284,2.3_dynamic_al,0.000
1657065604.832284,2.3_state_machine,0.000
1657065604.832284,2.3_integrity_total,0.718
1657065604.832284,1.2_odom_insert_frame,8.373
1657065604.932218,1.1_pointcloud_extract,0.011
1657065604.932218,1.1_cloud_preprocess,1.393
1657065604.932218,1.1_ros_callback_total,1.466
1657065604.932218,1.2_imu_integration,0.091
1657065604.932218,1.2_pointcloud_deskew,0.037
1657065604.932218,1.2_covariance_estimation,0.679
1657065604.932218,1.2_create_factors,0.015
1657065604.932218,1.2_smoother_update,5.246
1657065604.932218,1.3_gnss_injection,0.325
1657065604.932218,1.2_update_frames_calculate_estimate,0.016
1657065604.932218,1.2_update_frames_state_copy,0.007
1657065604.932218,1.2_update_frames_sigma_p,0.031
