record_type,path,bytes,type,mtime_utc,age_days,age_bucket,item_count
candidate_file,/home/dev/ws_iap/src/iap/results/planner_validation/campaigns/p1-2-20260808-dc5f134-c5/runs/pre_primary_2_enabled/exports/test_planner_p1_fork_formal_p1_fork_fused_v1_171262_1786208111184/planner_p0_occupancy_query_evidence.csv,175582145,.csv,2026-08-08T16:56:06Z,8.095831,7-30d,1
candidate_file,/home/dev/ws_iap/src/iap/results/planner_validation/campaigns/p1-2-20260808-dc5f134-c5/runs/pre_null_reference/exports/test_planner_p1_fork_formal_p1_fork_symmetric_null_v1_225902_1786208394003/planner_p0_occupancy_query_evidence.csv,340507798,.csv,2026-08-08T17:00:48Z,8.092567,7-30d,1
candidate_file,/home/dev/ws_iap/src/iap/results/planner_validation/campaigns/p1-2-20260808-dc5f134-c5/runs/pre_mirror_reference/exports/test_planner_p1_fork_formal_p1_fork_fused_mirror_v1_189401_1786208202584/planner_p0_occupancy_query_evidence.csv,339616991,.csv,2026-08-08T16:57:34Z,8.094819,7-30d,1
candidate_file,/home/dev/ws_iap/src/iap/results/planner_validation/campaigns/p1-2-20260808-dc5f134-c5/runs/pre_mirror_enabled/exports/test_planner_p1_fork_formal_p1_fork_fused_mirror_v1_207835_1786208298298/planner_p0_occupancy_query_evidence.csv,176468491,.csv,2026-08-08T16:59:13Z,8.093665,7-30d,1
candidate_file,/home/dev/ws_iap/src/iap/results/planner_validation/campaigns/p1-2-20260808-0cafa75-c1/runs/pre_null_enabled/exports/test_planner_p1_fork_formal_p1_fork_symmetric_null_v1_3633485_1786203430755/planner_p0_occupancy_query_evidence.csv,110244528,.csv,2026-08-08T15:37:32Z,8.150394,7-30d,1
candidate_file,/home/dev/ws_iap/src/iap/results/planner_validation/campaigns/p1-2-20260808-0cafa75-c1/runs/pre_soft_enabled/exports/test_planner_p1_fork_formal_p1_soft_risk_island_v1_3673922_1786203627400/planner_p0_occupancy_query_evidence.csv,1427688776,.csv,2026-08-08T15:41:57Z,8.147329,7-30d,1
candidate_file,/home/dev/ws_iap/src/iap/results/planner_validation/campaigns/p1-2-20260809-b89872a-c13/runs/pre_null_enabled/exports/test_planner_p1_fork_formal_p1_fork_symmetric_null_v1_2604072_1786254327617/planner_p0_occupancy_query_evidence.csv,997397315,.csv,2026-08-09T05:46:23Z,7.560910,7-30d,1
candidate_file,/home/dev/ws_iap/src/iap/results/planner_validation/campaigns/p1-2-20260809-b89872a-c13/runs/pre_soft_reference/exports/test_planner_p1_fork_formal_p1_soft_risk_island_v1_2622882_1786254423312/planner_p0_occupancy_query_evidence.csv,326526577,.csv,2026-08-09T05:47:54Z,7.559861,7-30d,1
candidate_file,/home/dev/ws_iap/src/iap/results/planner_validation/campaigns/p1-2-20260809-b89872a-c13/runs/pre_primary_2_reference/exports/test_planner_p1_fork_formal_p1_fork_fused_v1_2510638_1786253867354/planner_p0_occupancy_query_evidence.csv,308335344,.csv,2026-08-09T05:38:38Z,7.566296,7-30d,1
candidate_file,/home/dev/ws_iap/src/iap/results/planner_validation/campaigns/p1-2-20260809-b89872a-c13/runs/pre_soft_enabled/exports/test_planner_p1_fork_formal_p1_soft_risk_island_v1_2641889_1786254514533/planner_p0_occupancy_query_evidence.csv,1832318587,.csv,2026-08-09T05:50:04Z,7.558351,7-30d,1
candidate_file,/home/dev/ws_iap/src/iap/results/planner_validation/campaigns/p1-2-20260809-b89872a-c13/runs/pre_primary_1_reference/exports/test_planner_p1_fork_formal_p1_fork_fused_v1_2472392_1786253670922/planner_p0_occupancy_query_evidence.csv,290556556,.csv,2026-08-09T05:35:22Z,7.568570,7-30d,1
candidate_file,/home/dev/ws_iap/src/iap/results/planner_validation/campaigns/p1-2-20260809-b89872a-c13/runs/pre_primary_1_enabled/exports/test_planner_p1_fork_formal_p1_fork_fused_v1_2491545_1786253771651/planner_p0_occupancy_query_evidence.csv,891339563,.csv,2026-08-09T05:37:06Z,7.567366,7-30d,1
candidate_file,/home/dev/ws_iap/src/iap/results/planner_validation/campaigns/p1-2-20260809-b89872a-c13/runs/pre_primary_2_enabled/exports/test_planner_p1_fork_formal_p1_fork_fused_v1_2529075_1786253958476/planner_p0_occupancy_query_evidence.csv,1679671671,.csv,2026-08-09T05:40:48Z,7.564796,7-30d,1
candidate_file,/home/dev/ws_iap/src/iap/results/planner_validation/campaigns/p1-2-20260809-b89872a-c13/runs/pre_null_reference/exports/test_planner_p1_fork_formal_p1_fork_symmetric_null_v1_2585140_1786254236424/planner_p0_occupancy_query_evidence.csv,305126456,.csv,2026-08-09T05:44:47Z,7.562024,7-30d,1
candidate_file,/home/dev/ws_iap/src/iap/results/planner_validation/campaigns/p1-2-20260809-b89872a-c13/runs/pre_mirror_reference/exports/test_planner_p1_fork_formal_p1_fork_fused_mirror_v1_2547867_1786254054166/planner_p0_occupancy_query_evidence.csv,300809265,.csv,2026-08-09T05:41:42Z,7.564163,7-30d,1
candidate_file,/home/dev/ws_iap/src/iap/results/planner_validation/campaigns/p1-2-20260809-b89872a-c13/runs/pre_mirror_enabled/exports/test_planner_p1_fork_formal_p1_fork_fused_mirror_v1_2567091_1786254145300/planner_p0_occupancy_query_evidence.csv,1764691923,.csv,2026-08-09T05:43:55Z,7.562632,7-30d,1
candidate_file,/home/dev/ws_iap/src/iap/results/planner_validation/campaigns/p1-2-20260809-bf001d0-c11/runs/pre_null_enabled/exports/test_planner_p1_fork_formal_p1_fork_symmetric_null_v1_2217640_1786251904832/planner_p0_occupancy_query_evidence.csv,1875813409,.csv,2026-08-09T05:06:34Z,7.588565,7-30d,1
candidate_file,/home/dev/ws_iap/src/iap/results/planner_validation/campaigns/p1-2-20260809-bf001d0-c11/runs/pre_soft_reference/exports/test_planner_p1_fork_formal_p1_soft_risk_island_v1_2236106_1786251995948/planner_p0_occupancy_query_evidence.csv,277146402,.csv,2026-08-09T05:07:27Z,7.587956,7-30d,1
